tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0028209686279296875,38639.21027721433,21858803.883705206,9.512901306152344e-05,4.756450653076172e-05,8.429369702178807e-07,4.8160552978515625e-05,4.696846008300781e-05,0.002725839614868164,0.0009086132049560547,0.0015289096981931502,0.0026738643646240234,4.0531158447265625e-06,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0020449161529541016,53302.9189693366,30154292.590882592,7.390975952148438e-05,3.695487976074219e-05,3.540335274915099e-05,6.198883056640625e-05,1.1920928955078125e-05,0.001971006393432617,0.0006570021311442057,0.0010593466380982325,0.0018801689147949219,3.4809112548828125e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.002866029739379883,38031.70584809916,21515129.153315034,9.799003601074219e-05,4.8995018005371094e-05,1.8376025950749797e-05,6.198883056640625e-05,3.600120544433594e-05,0.0027680397033691406,0.0009226799011230469,0.0015149197752317213,0.002671957015991211,4.601478576660156e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0029468536376953125,36988.60323624595,20925029.73721683,5.602836608886719e-05,2.8014183044433594e-05,2.2759298195882778e-05,4.410743713378906e-05,1.1920928955078125e-05,0.0028908252716064453,0.0009636084238688151,0.0015860154638784015,0.002794981002807617,4.696846008300781e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0029218196868896484,37305.51905344757,21104313.957731538,9.489059448242188e-05,4.744529724121094e-05,3.3717478808715227e-06,4.982948303222656e-05,4.506111145019531e-05,0.0028269290924072266,0.0009423096974690756,0.0014583212304933287,0.002624034881591797,2.6941299438476562e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0028009414672851562,38915.48655090228,22015097.68062649,9.202957153320312e-05,4.601478576660156e-05,1.3486991523486091e-06,4.696846008300781e-05,4.506111145019531e-05,0.002708911895751953,0.0009029706319173177,0.0014807813527631774,0.0026128292083740234,4.696846008300781e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.002941131591796875,37060.56549935149,20965739.911802854,6.103515625e-05,3.0517578125e-05,2.7648332623146485e-05,5.0067901611328125e-05,1.0967254638671875e-05,0.002880096435546875,0.0009600321451822916,0.0015736773176971096,0.002777099609375,3.886222839355469e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.002878904342651367,37861.62616977226,21418912.426666666,0.00010895729064941406,5.447864532470703e-05,1.0621005824745295e-05,6.198883056640625e-05,4.696846008300781e-05,0.002769947052001953,0.000923315684000651,0.001523884243138847,0.002682924270629883,3.600120544433594e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.0027761459350585938,39263.06561319134,22211728.577121265,3.814697265625e-05,1.9073486328125e-05,1.2812641947311786e-05,2.8133392333984375e-05,1.0013580322265625e-05,0.0027379989624023438,0.0009126663208007812,0.0014959239501906424,0.0026400089263916016,4.696846008300781e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,61663,61488,48,15415.75,30714.836809756944,0.002816915512084961,38694.80626322472,21890255.400084637,7.486343383789062e-05,3.743171691894531e-05,5.057621821307284e-06,4.100799560546875e-05,3.3855438232421875e-05,0.0027420520782470703,0.0009140173594156901,0.001519956314014,0.002669095993041992,3.0040740966796875e-05,0,Benign
