tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0480449199676514,53.22148891232407,124.02071728192949,0.00010895729064941406,5.447864532470703e-05,7.434704077321708e-05,0.00010704994201660156,1.9073486328125e-06,2.047935962677002,0.682645320892334,1.1823400394629295,2.04789400100708,2.002716064453125e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.04913592338562,106.38630532610857,61.9773430110816,0.00020003318786621094,6.667772928873698e-05,5.506247705638754e-05,9.894371032714844e-05,3.0994415283203125e-06,2.048935890197754,1.024467945098877,1.4487783614242733,2.0489089488983154,2.6941299438476562e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.048158884048462,53.218527551215566,124.01381649549316,8.606910705566406e-05,4.303455352783203e-05,4.6698708150070585e-05,7.605552673339844e-05,1.0013580322265625e-05,2.0480728149414062,0.6826909383138021,1.1823905574083806,2.0479979515075684,3.0994415283203125e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.0482900142669678,106.43024107014298,62.0029386050833,0.00026607513427734375,8.869171142578125e-05,7.685958275771871e-05,0.00015115737915039062,2.86102294921875e-06,2.0480239391326904,1.0240119695663452,1.4481220506992616,2.0479888916015625,3.504753112792969e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.0023069381713867188,47248.77387350145,318604.11740388593,0.0021648406982421875,0.0010824203491210938,0.0015236928673658411,0.0021598339080810547,5.0067901611328125e-06,0.00014209747314453125,4.7365824381510414e-05,6.095050241003379e-05,0.00011706352233886719,4.0531158447265625e-06,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0482699871063232,53.2156408511306,124.00708968979058,0.0001220703125,6.103515625e-05,1.8544613344793375e-05,7.414817810058594e-05,4.792213439941406e-05,2.0481479167938232,0.6827159722646078,1.1824068690397465,2.048041820526123,5.1021575927734375e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.0481338500976562,106.43835606232749,62.00766614640179,0.00020003318786621094,6.667772928873698e-05,1.3839235020345205e-05,8.082389831542969e-05,5.316734313964844e-05,2.04793381690979,1.023966908454895,1.4480219097871998,2.047873020172119,6.079673767089844e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.002913951873779297,37406.24578628702,252234.7766323024,0.0027208328247070312,0.0013604164123535156,0.0019154899711231119,0.002714872360229492,5.9604644775390625e-06,0.00019311904907226562,6.437301635742188e-05,7.158078605809225e-05,0.0001430511474609375,3.0994415283203125e-06,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.0018341541290283203,59427.93916547511,400729.68152866245,0.0016579627990722656,0.0008289813995361328,0.0011639273684768497,0.0016520023345947266,5.9604644775390625e-06,0.0001761913299560547,5.87304433186849e-05,6.507138556038188e-05,0.00013017654418945312,2.86102294921875e-06,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.001898050308227539,57427.35033287275,387239.4724280869,0.001661062240600586,0.000830531120300293,0.0011533063626521043,0.0016460418701171875,1.5020370483398438e-05,0.00023698806762695312,7.89960225423177e-05,0.00010896963693687173,0.0002048015594482422,1.4066696166992188e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.048309803009033,53.2146064232449,124.00467918811198,8.606910705566406e-05,4.303455352783203e-05,4.214684851089403e-06,4.601478576660156e-05,4.00543212890625e-05,2.0482237339019775,0.6827412446339926,1.182445686632458,2.048111915588379,5.2928924560546875e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.047797918319702,106.45581678238909,62.017838217263375,0.00016498565673828125,5.4995218912760414e-05,7.628252023346072e-05,0.0001430511474609375,9.059906005859375e-06,2.047632932662964,1.023816466331482,1.4478671465594677,2.0476131439208984,1.9788742065429688e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0480871200561523,53.220392302946344,124.0181618802603,8.606910705566406e-05,4.303455352783203e-05,8.260782308135231e-06,4.887580871582031e-05,3.719329833984375e-05,2.0480010509490967,0.6826670169830322,1.1823152622773812,2.047887086868286,5.602836608886719e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,1.920069932937622,56.76876562159109,382.79855717311426,7.891654968261719e-05,7.891654968261719e-05,,7.891654968261719e-05,7.891654968261719e-05,1.9199910163879395,0.47999775409698486,0.9598356106843882,1.9197511672973633,3.600120544433594e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,0.12758994102478027,1708.5986422523736,995.3762732387681,0.0032188892364501953,0.0010729630788167317,0.0017519302405306703,0.003095865249633789,4.887580871582031e-05,0.12437105178833008,0.06218552589416504,0.08787584197042597,0.12432312965393066,4.792213439941406e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,1.4081039428710938,77.40905815358441,180.38441074321506,8.392333984375e-05,4.1961669921875e-05,1.0115243642614568e-05,4.9114227294921875e-05,3.4809112548828125e-05,1.40802001953125,0.4693400065104167,0.8128141954030312,1.4078969955444336,6.103515625e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.0022220611572265625,49053.55536480687,330773.974248927,0.0019321441650390625,0.0009660720825195312,0.0013139701491756324,0.0018951892852783203,3.695487976074219e-05,0.0002899169921875,9.663899739583333e-05,7.428042974397413e-05,0.0001819133758544922,4.601478576660156e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.002068042755126953,52706.840673276456,355408.5127968642,0.001689910888671875,0.0008449554443359375,0.0011399879585226617,0.0016510486602783203,3.886222839355469e-05,0.0003781318664550781,0.00012604395548502603,6.817367938364241e-05,0.0001780986785888672,4.887580871582031e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.0020329952239990234,53615.47273366952,361535.52714905597,0.0017178058624267578,0.0008589029312133789,0.0012092773774745715,0.0017139911651611328,3.814697265625e-06,0.0003151893615722656,0.00010506312052408855,5.701013162597247e-05,0.00016307830810546875,4.9114227294921875e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,1247,1072,48,311.75,507.04396587804234,0.002074003219604492,52555.36682377285,601252.6828371077,0.0018630027770996094,0.0009315013885498047,0.0012637311057506467,0.001825094223022461,3.790855407714844e-05,0.0002110004425048828,7.033348083496094e-05,6.140701814100259e-05,0.00014090538024902344,2.9087066650390625e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,735,560,48,183.75,251.25866485887937,0.6314389705657959,172.62159144585488,1164.007979015627,0.0014491081237792969,0.0007245540618896484,0.0009848875560025717,0.0014209747314453125,2.8133392333984375e-05,0.6299898624420166,0.20999662081400552,0.36354662984368336,0.629784107208252,6.079673767089844e-05,0,Benign
4,2,218,61,48,54.5,7.505553499465135,127,79,48,63.5,21.920310216782973,2.0477330684661865,106.45918814178673,62.019802266086764,3.504753112792969e-05,1.1682510375976562e-05,6.8397466124444255e-06,1.621246337890625e-05,3.814697265625e-06,2.0476980209350586,1.0238490104675293,1.4478534909805503,2.047636032104492,6.198883056640625e-05,0,Benign
2,4,109,61,48,54.5,9.192388155425117,254,79,48,63.5,17.897858344878397,2.0482959747314453,53.214965681066246,124.00551635771401,7.510185241699219e-05,3.7550926208496094e-05,4.87217568785935e-05,7.200241088867188e-05,3.0994415283203125e-06,2.0482208728790283,0.6827402909596761,1.1824663343352977,2.0481348037719727,3.1948089599609375e-05,0,Benign
