tot_fw_pk,tot_bw_pk,tot_l_fw_pkt,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,tot_l_bw_pkt,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_avg,bw_pkt_l_std,fl_dur,fw_fl_byt_s,bw_fl_byt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,Label_code,Label_Desc
6,0,288,48,48,48.0,0.0,0,0,0,0.0,0.0,1.2874603271484375e-05,22369621.333333332,0.0,1.2874603271484375e-05,2.574920654296875e-06,5.168791625184727e-07,3.0994415283203125e-06,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
3,3,4302,1434,1434,1434.0,0.0,470,211,48,156.66666666666666,94.108093877909,0.019701004028320312,218364.50537322104,23856.65214444767,0.019488096237182617,0.009744048118591309,0.013607531510227247,0.019366025924682617,0.0001220703125,0.0002129077911376953,7.096926371256511e-05,4.519924138371934e-05,0.00010895729064941406,2.09808349609375e-05,0,Benign
3,3,4302,1434,1434,1434.0,0.0,307,211,48,102.33333333333333,94.108093877909,0.002741098403930664,1569443.8382186657,111998.89779942593,0.0026650428771972656,0.0008883476257324219,0.0012823899305278086,0.0023679733276367188,9.799003601074219e-05,7.605552673339844e-05,3.802776336669922e-05,2.3770822560144233e-05,5.4836273193359375e-05,2.1219253540039062e-05,0,Benign
4,2,4350,1434,48,1087.5,693.0,259,211,48,129.5,115.25840533340725,0.000370025634765625,11755942.268041236,699951.5051546391,0.000244140625,8.138020833333333e-05,0.00011422025082001902,0.0002129077911376953,7.152557373046875e-06,0.000125885009765625,6.29425048828125e-05,4.383272245132979e-06,6.604194641113281e-05,5.984306335449219e-05,0,Benign
6,0,288,48,48,48.0,0.0,0,0,0,0.0,0.0,1.3113021850585938e-05,21962900.945454545,0.0,1.3113021850585938e-05,2.6226043701171875e-06,6.529361695112778e-07,3.0994415283203125e-06,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
4,2,2964,1434,48,741.0,800.2074730968213,259,211,48,129.5,115.25840533340725,0.0050089359283447266,591742.4463801228,51707.58893807416,0.004931926727294922,0.0016439755757649739,0.0027049564607606437,0.004765987396240234,1.9073486328125e-06,7.700920104980469e-05,3.8504600524902344e-05,2.343364777205708e-05,5.507469177246094e-05,2.193450927734375e-05,0,Benign
2,4,2868,1434,1434,1434.0,0.0,518,211,48,129.5,94.108093877909,0.006066083908081055,472792.6687890579,85392.81814251465,0.0059452056884765625,0.0029726028442382812,0.003933481077824718,0.005753993988037109,0.00019121170043945312,0.00012087821960449219,4.029273986816406e-05,2.6446198699688048e-05,7.081031799316406e-05,2.4080276489257812e-05,0,Benign
4,2,5736,1434,1434,1434.0,0.0,259,211,48,129.5,115.25840533340725,0.006348848342895508,903470.9431071389,40794.8002553607,0.00619196891784668,0.0020639896392822266,0.002387886763053113,0.004734039306640625,0.00013303756713867188,0.00015687942504882812,7.843971252441406e-05,1.348699152348609e-05,8.797645568847656e-05,6.890296936035156e-05,0,Benign
4,2,1578,1434,48,394.5,693.0,259,211,48,129.5,115.25840533340725,7.987022399902344e-05,19757049.886567164,3242760.405970149,7.581710815429688e-05,1.895427703857422e-05,2.7391171671613556e-05,5.984306335449219e-05,2.86102294921875e-06,4.0531158447265625e-06,4.0531158447265625e-06,,4.0531158447265625e-06,4.0531158447265625e-06,0,Benign
6,0,288,48,48,48.0,0.0,0,0,0,0.0,0.0,1.1920928955078125e-05,24159191.04,0.0,1.1920928955078125e-05,2.384185791015625e-06,5.591411304263389e-07,3.0994415283203125e-06,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.0,0,Benign
4,2,4652,1434,350,1163.0,542.0,259,211,48,129.5,115.25840533340725,0.0022170543670654297,2098279.6223249813,116821.67286805033,0.0021119117736816406,0.0007039705912272135,0.0010024427128848918,0.0018589496612548828,6.008148193359375e-05,0.00010514259338378906,5.257129669189453e-05,7.131246768043271e-05,0.000102996826171875,2.1457672119140625e-06,0,Benign
2,4,2868,1434,1434,1434.0,0.0,518,211,48,129.5,94.108093877909,0.0004792213439941406,5984708.394029851,1080920.1353233831,0.0002079010009765625,0.00010395050048828125,0.00014431080930130116,0.00020599365234375,1.9073486328125e-06,0.0002713203430175781,9.04401143391927e-05,2.757559359120517e-05,0.00011110305786132812,5.91278076171875e-05,0,Benign
5,1,4398,1434,48,879.6,759.1434647021603,211,211,211,211.0,,0.001689910888671875,2602504.0902934535,124858.65462753951,0.001580953598022461,0.00039523839950561523,0.0007631522710084056,0.0015399456024169922,9.059906005859375e-06,0.00010895729064941406,0.00010895729064941406,,0.00010895729064941406,0.00010895729064941406,0,Benign
5,1,240,48,48,48.0,0.0,48,48,48,48.0,,1.9073486328125e-05,12582912.0,2516582.4,1.0013580322265625e-05,2.5033950805664062e-06,6.88255154120476e-07,3.0994415283203125e-06,1.9073486328125e-06,9.059906005859375e-06,9.059906005859375e-06,,9.059906005859375e-06,9.059906005859375e-06,0,Benign
4,2,2964,1434,48,741.0,800.2074730968213,259,211,48,129.5,115.25840533340725,0.0003151893615722656,9403870.692889562,821728.2420574886,0.0002002716064453125,6.67572021484375e-05,7.244277023614142e-05,0.0001480579376220703,9.059906005859375e-06,0.00011491775512695312,5.745887756347656e-05,5.0239043424985685e-05,9.298324584960938e-05,2.193450927734375e-05,0,Benign
3,3,4302,1434,1434,1434.0,0.0,470,211,48,156.66666666666666,94.108093877909,0.03956198692321777,108740.7467261277,11880.090878958628,0.03934812545776367,0.019674062728881836,0.027577188742860095,0.03917407989501953,0.00017404556274414062,0.00021386146545410156,7.128715515136719e-05,4.27886629621418e-05,9.799003601074219e-05,2.193450927734375e-05,0,Benign
