,urb_id,urb_type,transfer_type,endpoint_number,urb_direction,device_number,bus_number,setup_request,data_flag,urb_sec,urb_usec,urb_status,urb_length,data_length,urb_unusedsetup_header,payload_data
106,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,665130,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
107,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,665137,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
108,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,667247,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
109,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,667253,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
110,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,669143,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
111,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,669148,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
112,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,671162,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
113,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,671169,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
114,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,673168,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
115,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,673172,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
116,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,675162,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
117,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,675169,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
118,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,677160,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
119,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,677164,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
120,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,679162,0,8,8,0,"(0, 2, 0, 0, 2, 0, 0, 0)"
121,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,679165,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
122,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,681130,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
123,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,681135,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
124,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,683159,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
125,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,683168,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
126,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,685233,0,8,8,0,"(0, 2, 0, 0, 2, 0, 0, 0)"
127,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,685237,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
128,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,687162,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
129,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,687169,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
130,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,689160,0,8,8,0,"(0, 2, 0, 0, 2, 0, 0, 0)"
131,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,689167,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
132,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,691161,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
133,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,691168,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
134,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,693160,0,8,8,0,"(0, 2, 0, 0, 2, 0, 0, 0)"
135,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,693166,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
136,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,695161,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
137,18446623760012383552,S,1,1,8,42,1,45,60,1726657737,695168,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
138,18446623760012383552,C,1,1,8,42,1,45,0,1726657737,697162,0,8,8,0,"(0, 2, 0, 0, 2, 0, 0, 0)"
