urb_id,urb_type,transfer_type,endpoint_number,urb_direction,device_number,bus_number,setup_request,data_flag,urb_sec,urb_usec,urb_status,urb_length,data_length,urb_unusedsetup_header,payload_data,,,,,,,
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,716582,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,724580,0,7,7,0,(3\, 0\, 244\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,724588,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,732576,0,7,7,0,(3\, 0\, 246\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,732583,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,740576,0,7,7,0,(3\, 0\, 246\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,740584,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,748575,0,7,7,0,(3\, 0\, 247\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,748581,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,756575,0,7,7,0,(3\, 0\, 248\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,756584,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,764575,0,7,7,0,(3\, 0\, 249\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,764582,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,772576,0,7,7,0,(3\, 0\, 249\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,772584,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,780577,0,7,7,0,(3\, 0\, 250\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,780584,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,788543,0,7,7,0,(3\, 0\, 255\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,788551,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,796578,0,7,7,0,(3\, 0\, 254\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,796585,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,804574,0,7,7,0,(3\, 0\, 255\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,804580,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,812544,0,7,7,0,(3\, 0\, 255\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,812558,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,820574,0,7,7,0,(3\, 0\, 0\, 0\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,820578,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,828639,0,7,7,0,(3\, 0\, 0\, 240\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,828649,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,836575,0,7,7,0,(3\, 0\, 255\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,836581,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,844635,0,7,7,0,(3\, 0\, 255\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,844644,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,852574,0,7,7,0,(3\, 0\, 0\, 0\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,852578,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,908637,0,7,7,0,(3\, 0\, 4\, 240\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,908649,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,916567,0,7,7,0,(3\, 0\, 1\, 0\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,916574,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,924566,0,7,7,0,(3\, 0\, 3\, 0\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,924576,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,932568,0,7,7,0,(3\, 0\, 6\, 224\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,932575,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,940569,0,7,7,0,(3\, 0\, 6\, 176\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,940575,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,948568,0,7,7,0,(3\, 0\, 16\, 192\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,948574,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,956567,0,7,7,0,(3\, 0\, 9\, 224\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,956572,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660063,964773,0,7,7,0,(3\, 0\, 1\, 240\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660063,964791,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,196806,0,7,7,0,(3\, 0\, 0\, 16\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,196823,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,204781,0,7,7,0,(3\, 0\, 0\, 0\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,204794,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,212812,0,7,7,0,(3\, 0\, 252\, 79\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,212829,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,220802,0,7,7,0,(3\, 0\, 251\, 79\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,220820,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,228661,0,7,7,0,(3\, 0\, 251\, 47\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,228678,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,236719,0,7,7,0,(3\, 0\, 249\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,236737,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,244805,0,7,7,0,(3\, 0\, 248\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,244823,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,252805,0,7,7,0,(3\, 0\, 243\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,252822,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,260718,0,7,7,0,(3\, 0\, 240\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,260736,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,268721,0,7,7,0,(3\, 0\, 237\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,268739,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,276802,0,7,7,0,(3\, 0\, 234\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,276819,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,284577,0,7,7,0,(3\, 0\, 232\, 207\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,284590,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,292718,0,7,7,0,(3\, 0\, 231\, 191\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,292735,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,300789,0,7,7,0,(3\, 0\, 232\, 207\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,300807,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,308713,0,7,7,0,(3\, 0\, 232\, 207\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,308731,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,316638,0,7,7,0,(3\, 0\, 233\, 223\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,316654,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,324791,0,7,7,0,(3\, 0\, 232\, 223\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,324808,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,332642,0,7,7,0,(3\, 0\, 234\, 223\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,332659,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,340580,0,7,7,0,(3\, 0\, 235\, 207\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,340605,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,348569,0,7,7,0,(3\, 0\, 238\, 223\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,348578,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,356567,0,7,7,0,(3\, 0\, 238\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,356573,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,364633,0,7,7,0,(3\, 0\, 241\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,364643,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,372567,0,7,7,0,(3\, 0\, 244\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,372572,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,380569,0,7,7,0,(3\, 0\, 247\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,380581,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,388576,0,7,7,0,(3\, 0\, 254\, 239\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,388583,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,396546,0,7,7,0,(3\, 0\, 255\, 15\, 0\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,396561,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,436570,0,7,7,0,(3\, 0\, 255\, 255\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,436578,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,444632,0,7,7,0,(3\, 0\, 0\, 208\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,444650,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,452571,0,7,7,0,(3\, 0\, 0\, 176\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,452582,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,460568,0,7,7,0,(3\, 0\, 5\, 144\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,460575,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,472567,0,7,7,0,(3\, 0\, 8\, 128\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,472574,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
1.84466237600124E+019,C,1,2,8,50,1,45,0,1726660064,480569,0,7,7,0,(3\, 0\, 10\, 112\, 255\, 0\, 0),
1.84466237600124E+019,S,1,2,8,50,1,45,60,1726660064,480576,4294967181,7,0,0,[0\, 0\, 0\, 0\, 0\, 0\, 0\, 0]
