fl_dur,tot_fw_pk,tot_bw_pk,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_mean,bw_pkt_l_std,fw_fl_byt_s,bw_fl_byt_s,fw_fl_pkt_s,bw_fl_pkt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,fw_pkt_s,bw_pkt_s,pkt_size_avg,Label_code,Label_Desc
0.005192995071411133,2,2,61488,79,30783.5,43422.7203258847,48,48,48.0,0.0,11855778.631284148,18486.441577521695,385.13419953170194,385.13419953170194,3.409385681152344e-05,3.409385681152344e-05,,3.409385681152344e-05,3.409385681152344e-05,0.005158901214599609,0.0025794506072998047,0.0035885512696115615,0.005116939544677734,4.1961669921875e-05,26296.576802507836,388.2716037954177,15415.75,0,Benign
0.0002110004425048828,2,2,79,48,63.5,21.920310216782973,61,48,54.5,9.192388155425117,601894.4723163842,516586.5943502825,9478.653107344633,9478.653107344633,0.00012683868408203125,0.00012683868408203125,,0.00012683868408203125,0.00012683868408203125,8.416175842285156e-05,4.208087921142578e-05,7.2492579438737736e-06,4.7206878662109375e-05,3.695487976074219e-05,11491.243835616438,12210.491994177584,59.0,0,Benign
0.005296945571899414,2,2,61488,48,30768.0,43444.64063610148,61,48,54.5,9.192388155425117,11617261.148849979,20577.896925777557,377.57609038123957,377.57609038123957,1.5020370483398438e-05,1.5020370483398438e-05,,1.5020370483398438e-05,1.5020370483398438e-05,0.005281925201416016,0.002640962600708008,0.003674193665785698,0.005239009857177734,4.291534423828125e-05,380.66016245405456,34521.02057613169,15411.25,0,Benign
0.005265951156616211,2,2,61488,79,30783.5,43422.7203258847,48,48,48.0,0.0,11691525.076651424,18230.324806447232,379.7984334676507,379.7984334676507,3.2901763916015625e-05,3.2901763916015625e-05,,3.2901763916015625e-05,3.2901763916015625e-05,0.005233049392700195,0.0026165246963500977,0.0036409819491591135,0.00519108772277832,4.1961669921875e-05,26715.31210191083,382.8491625211081,15415.75,0,Benign
0.00022912025451660156,2,2,79,48,63.5,21.920310216782973,61,48,54.5,9.192388155425117,554294.0770031217,475732.71175858483,8729.040582726328,8729.040582726328,0.00013709068298339844,0.00013709068298339844,,0.00013709068298339844,0.00013709068298339844,9.202957153320312e-05,4.601478576660156e-05,7.080670549830197e-06,5.1021575927734375e-05,4.100799560546875e-05,11229.729585006693,10631.949302915082,59.0,0,Benign
0.0042781829833984375,2,2,61488,48,30768.0,43444.64063610148,61,48,54.5,9.192388155425117,14383676.490414623,25478.106107891217,467.4881854658939,467.4881854658939,1.811981201171875e-05,1.811981201171875e-05,,1.811981201171875e-05,1.811981201171875e-05,0.004260063171386719,0.0021300315856933594,0.0029472448226697976,0.004214048385620117,4.601478576660156e-05,472.5710100839389,31184.416356877322,15411.25,0,Benign
0.0051670074462890625,2,2,61488,79,30783.5,43422.7203258847,48,48,48.0,0.0,11915407.639719455,18579.419712070874,387.07124400147654,387.07124400147654,3.314018249511719e-05,3.314018249511719e-05,,3.314018249511719e-05,3.314018249511719e-05,0.005133867263793945,0.0025669336318969727,0.0035695008940846372,0.005090951919555664,4.291534423828125e-05,26296.576802507836,390.31304671505677,15415.75,0,Benign
0.00019502639770507812,2,2,79,48,63.5,21.920310216782973,61,48,54.5,9.192388155425117,651193.8973105134,558898.6992665037,10255.022004889976,10255.022004889976,0.00010704994201660156,0.00010704994201660156,,0.00010704994201660156,0.00010704994201660156,8.797645568847656e-05,4.398822784423828e-05,2.865985698740794e-06,4.601478576660156e-05,4.1961669921875e-05,13421.7728,13066.367601246106,59.0,0,Benign
0.00509190559387207,2,2,61488,48,30768.0,43444.64063610148,61,48,54.5,9.192388155425117,12085063.021210844,21406.5241372852,392.78025939972844,392.78025939972844,2.6941299438476562e-05,2.6941299438476562e-05,,2.6941299438476562e-05,2.6941299438476562e-05,0.005064964294433594,0.002532482147216797,0.003567309257962071,0.005054950714111328,1.0013580322265625e-05,393.55421064977713,54120.051612903226,15411.25,0,Benign
0.0051059722900390625,2,2,61488,79,30783.5,43422.7203258847,48,48,48.0,0.0,12057840.603660814,18801.512140455736,391.6981695928278,391.6981695928278,4.0531158447265625e-06,4.0531158447265625e-06,,4.0531158447265625e-06,4.0531158447265625e-06,0.005101919174194336,0.002550959587097168,0.0035880455074294307,0.005088090896606445,1.3828277587890625e-05,111848.10666666667,392.761869088866,15415.75,0,Benign
