fl_dur,tot_fw_pk,tot_bw_pk,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_mean,bw_pkt_l_std,fw_fl_byt_s,bw_fl_byt_s,fw_fl_pkt_s,bw_fl_pkt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,fw_pkt_s,bw_pkt_s,pkt_size_avg,Label_code,Label_Desc
2.6226043701171875e-05,4,0,61488,48,30776.0,35463.16534095624,0,0,0.0,0.0,4693959996.509091,0.0,152520.14545454545,0.0,2.6226043701171875e-05,8.742014567057291e-06,7.434430101829751e-06,1.71661376953125e-05,3.0994415283203125e-06,0.0,0.0,0.0,0.0,0.0,152520.14545454545,0.0,30776.0,0,Benign
1.71661376953125e-05,3,1,61488,48,20538.666666666668,35463.16654408251,48,48,48.0,,3589392156.4444447,2796202.6666666665,174762.66666666666,58254.22222222222,7.152557373046875e-06,3.5762786865234375e-06,2.0230487285229133e-06,5.0067901611328125e-06,2.1457672119140625e-06,1.0013580322265625e-05,1.0013580322265625e-05,,1.0013580322265625e-05,1.0013580322265625e-05,419430.4,0.0,15416.0,0,Benign
1.3828277587890625e-05,3,1,61488,48,20538.666666666668,35463.16654408251,48,48,48.0,,4455797159.724138,3471148.1379310344,216946.75862068965,72315.58620689655,1.3828277587890625e-05,4.609425862630208e-06,2.3400675240096183e-06,5.9604644775390625e-06,1.9073486328125e-06,0.0,,,,,381300.36363636365,0.0,15416.0,0,Benign
2.4080276489257812e-05,2,2,80,48,64.0,22.627416997969522,48,48,48.0,0.0,5315553.584158416,3986665.1881188117,83055.52475247525,83055.52475247525,5.9604644775390625e-06,5.9604644775390625e-06,,5.9604644775390625e-06,5.9604644775390625e-06,1.811981201171875e-05,9.059906005859375e-06,2.6973983046972182e-06,1.0967254638671875e-05,7.152557373046875e-06,335544.32,279620.26666666666,56.0,0,Benign
6.198883056640625e-05,3,1,80,48,69.33333333333333,18.475208614068027,48,48,48.0,,3355443.2,774333.0461538462,48395.81538461539,16131.938461538462,2.002716064453125e-05,1.0013580322265625e-05,1.3486991523486091e-06,1.0967254638671875e-05,9.059906005859375e-06,4.1961669921875e-05,4.1961669921875e-05,,4.1961669921875e-05,4.1961669921875e-05,149796.57142857142,0.0,64.0,0,Benign
0.007033109664916992,0,4,0,0,0.0,0.0,64,48,52.0,8.0,0.0,29574.400216956506,0.0,568.738465710702,0.0,0.0,0.0,0.0,0.0,0.007033109664916992,0.002344369888305664,0.0019753021149254246,0.003576993942260742,6.604194641113281e-05,0.0,568.738465710702,52.0,0,Benign
0.008239030838012695,0,4,0,0,0.0,0.0,64,48,56.0,9.237604307034012,0.0,27187.663743959256,0.0,485.49399542784386,0.0,0.0,0.0,0.0,0.0,0.008239030838012695,0.0027463436126708984,0.002377724821920941,0.004580974578857422,6.008148193359375e-05,0.0,485.49399542784386,56.0,0,Benign
0.008228063583374023,0,4,0,0,0.0,0.0,64,48,56.0,9.237604307034012,0.0,27223.902407927908,0.0,486.14111442728404,0.0,0.0,0.0,0.0,0.0,0.008228063583374023,0.0027426878611246743,0.002359133303162885,0.004527091979980469,6.794929504394531e-05,0.0,486.14111442728404,56.0,0,Benign
4.601478576660156e-05,3,1,61488,48,20538.666666666668,35463.16654408251,64,64,64.0,,1339047851.1088083,1390857.2849740933,65196.43523316062,21732.145077720208,4.601478576660156e-05,1.533826192220052e-05,7.987318934918872e-06,2.09808349609375e-05,6.198883056640625e-06,0.0,,,,,110376.42105263157,0.0,15420.0,0,Benign
4.1961669921875e-05,3,1,61488,48,20538.666666666668,35463.16654408251,48,48,48.0,,1468387700.3636363,1143901.0909090908,71493.81818181818,23831.272727272728,3.1948089599609375e-05,1.5974044799804688e-05,1.8207438556706223e-05,2.8848648071289062e-05,3.0994415283203125e-06,1.0013580322265625e-05,1.0013580322265625e-05,,1.0013580322265625e-05,1.0013580322265625e-05,93902.32835820895,0.0,15416.0,0,Benign
