urb_id,urb_type,transfer_type,endpoint_number,urb_direction,device_number,bus_number,setup_request,data_flag,urb_sec,urb_usec,urb_status,urb_length,data_length,urb_unusedsetup_header,payload_data
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,214712,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,216666,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,216679,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,220625,0,8,8,0,"(0, 0, 1, 0, 0, 0, 1, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,220645,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,228730,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,228755,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,260796,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,260831,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,278717,0,8,8,0,"(0, 0, 1, 0, 0, 0, 1, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,278746,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,286647,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,286673,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,288699,0,8,8,0,"(0, 1, 0, 0, 1, 0, 0, 0)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,288726,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,290709,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,290732,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,292701,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,292721,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,294703,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,294726,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,296701,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,296722,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,298646,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,298660,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,300696,0,8,8,0,"(0, 1, 255, 0, 1, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,300720,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,302625,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,302643,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,304697,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,304718,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,306640,0,8,8,0,"(0, 2, 254, 0, 2, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,306669,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,308627,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,308647,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,310706,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,310726,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,312661,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,312681,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,314709,0,8,8,0,"(0, 2, 254, 0, 2, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,314735,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,316626,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,316649,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,318627,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,318651,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,320622,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,320634,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,322624,0,8,8,0,"(0, 2, 254, 0, 2, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,322639,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,324621,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,324629,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,326655,0,8,8,0,"(0, 2, 255, 0, 2, 0, 255, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,326664,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,328711,0,8,8,0,"(0, 3, 254, 0, 3, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,328719,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18446635029626446400,C,1,1,8,56,1,45,0,1725795501,330710,0,8,8,0,"(0, 2, 254, 0, 2, 0, 254, 255)"
18446635029626446400,S,1,1,8,56,1,45,60,1725795501,330717,4294967181,8,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
