fl_dur,tot_fw_pk,tot_bw_pk,fw_pkt_l_max,fw_pkt_l_min,fw_pkt_l_avg,fw_pkt_l_std,bw_pkt_l_max,bw_pkt_l_min,bw_pkt_l_mean,bw_pkt_l_std,fw_fl_byt_s,bw_fl_byt_s,fw_fl_pkt_s,bw_fl_pkt_s,fw_iat_tot,fw_iat_avg,fw_iat_std,fw_iat_max,fw_iat_min,bw_iat_tot,bw_iat_avg,bw_iat_std,bw_iat_max,bw_iat_min,fw_pkt_s,bw_pkt_s,pkt_size_avg,Label_code,Label_Desc
0.004060983657836914,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,275795.24922209827,30534474.021018025,492.4915164680326,492.4915164680326,6.890296936035156e-05,3.445148468017578e-05,6.237733579612317e-06,3.886222839355469e-05,3.0040740966796875e-05,0.0039920806884765625,0.0039920806884765625,,0.0039920806884765625,0.0039920806884765625,497.2500296384114,496.161826462412,31280.0,0,Benign
0.00410914421081543,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,272562.8360893531,30176599.70989266,486.71935015955904,486.71935015955904,6.818771362304688e-05,3.409385681152344e-05,1.5510040252009004e-05,4.506111145019531e-05,2.3126602172851562e-05,0.004040956497192383,0.004040956497192383,,0.004040956497192383,0.004040956497192383,489.47415100945267,492.11592162384136,31280.0,0,Benign
0.003966093063354492,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,282393.7769762549,31265025.308085363,504.2746017433123,504.2746017433123,0.00010800361633300781,5.4001808166503906e-05,2.4107997348231388e-05,7.104873657226562e-05,3.695487976074219e-05,0.0038580894470214844,0.0038580894470214844,,0.0038580894470214844,0.0038580894470214844,513.4729754544898,509.0174757281553,31280.0,0,Benign
0.004021883010864258,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,278476.5238010552,30831329.42083111,497.27950678759856,497.27950678759856,5.173683166503906e-05,2.586841583251953e-05,2.865985698740794e-06,2.7894973754882812e-05,2.384185791015625e-05,0.003970146179199219,0.003970146179199219,,0.003970146179199219,0.003970146179199219,500.2449758482915,500.75262655205347,31280.0,0,Benign
0.004055976867675781,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,276135.6971549494,30572166.470726546,493.0994592052669,493.0994592052669,5.1975250244140625e-05,2.5987625122070312e-05,1.3486991523486091e-06,2.6941299438476562e-05,2.5033950805664062e-05,0.004004001617431641,0.004004001617431641,,0.004004001617431641,0.004004001617431641,496.396709864489,496.161826462412,31280.0,0,Benign
0.004024982452392578,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,278262.08269162424,30807587.72657268,496.89657623504326,496.89657623504326,5.602836608886719e-05,2.8014183044433594e-05,2.865985698740794e-06,3.0040740966796875e-05,2.5987625122070312e-05,0.003968954086303711,0.003968954086303711,,0.003968954086303711,0.003968954086303711,500.63308665552637,500.12567817325464,31280.0,0,Benign
0.004137992858886719,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,270662.62272413,29966218.944457248,483.32611200737495,483.32611200737495,9.989738464355469e-05,4.9948692321777344e-05,3.692063929554317e-05,7.605552673339844e-05,2.384185791015625e-05,0.004038095474243164,0.004038095474243164,,0.004038095474243164,0.004038095474243164,486.1270282800185,492.3758877736691,31280.0,0,Benign
0.003993034362792969,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,280488.4451874851,31054077.86004299,500.8722235490805,500.8722235490805,0.00011706352233886719,5.8531761169433594e-05,2.039907467927271e-05,7.295608520507812e-05,4.410743713378906e-05,0.0038759708404541016,0.0038759708404541016,,0.0038759708404541016,0.0038759708404541016,510.1938936868994,506.4667028919882,31280.0,0,Benign
0.0040318965911865234,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,277784.9021347052,30754757.02205665,496.0444680976879,496.0444680976879,5.2928924560546875e-05,2.6464462280273438e-05,6.406320973655893e-06,3.0994415283203125e-05,2.193450927734375e-05,0.0039789676666259766,0.0039789676666259766,,0.0039789676666259766,0.0039789676666259766,498.7578334026993,499.88725344139203,31280.0,0,Benign
0.004026889801025391,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,278130.28300769685,30792995.618709296,496.66121965660153,496.66121965660153,5.0067901611328125e-05,2.5033950805664062e-05,0.0,2.5033950805664062e-05,2.5033950805664062e-05,0.0039768218994140625,0.0039768218994140625,,0.0039768218994140625,0.0039768218994140625,499.76812630324696,499.76812630324696,31280.0,0,Benign
0.004018068313598633,2,2,560,560,560.0,0.0,62000,62000,62000.0,0.0,278740.9054767697,30860600.24921379,497.75161692280307,497.75161692280307,5.817413330078125e-05,2.9087066650390625e-05,1.3486991523486091e-06,3.0040740966796875e-05,2.8133392333984375e-05,0.0039598941802978516,0.0039598941802978516,,0.0039598941802978516,0.0039598941802978516,501.50104621271,501.26130863459815,31280.0,0,Benign
